Processes: 324 total, 4 running, 320 sleeping, 1215 threads 
2016/10/29 21:09:03
Load Avg: 2.73, 2.53, 2.37 
CPU usage: 28.98% user, 23.18% sys, 47.82% idle 
SharedLibs: 93M resident, 23M data, 6520K linkedit.
MemRegions: 68085 total, 504M resident, 38M private, 688M shared.
PhysMem: 3950M used (1190M wired), 145M unused.
VM: 5078G vsize, 618M framework vsize, 593712(0) swapins, 671578(0) swapouts.
Networks: packets: 1512128/1915M in, 651230/60M out.
Disks: 847076/18G read, 309812/18G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG  CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER USER            #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
13346  mdworker         0.0  00:00.20 3     1   62+    168K+  0B    4096K+ 13346 1     sleeping *0[1+]      0.00000 0.00000    89  9056+    273+   618+      248+      9502+     729+      948+      19+     3       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
13345  mdworker         0.0  00:00.09 3     1   45+    164K+  0B    3040K+ 13345 1     sleeping *0[1+]      0.00000 0.00000    89  7189+    235+   550+      233+      4964+     597+      501+      7+      1       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
11680  mdworker         0.0  00:00.10 3     1   45+    156K+  0B    3076K+ 11680 1     sleeping *0[1+]      0.00000 0.00000    89  7590+    235+   555+      234+      4967+     609+      505+      22+     7       0.0   _spotlight      N/A    N/A   N/A   N/A   N/A   N/A  
11074  com.docker.hyper 0.0  01:21.61 17    1   36+    355M+  0B    296M+  11069 11069 sleeping *0[1+]      0.00000 0.00000    501 401904+  493+   167+      70+       7817903+  203+      2151301+  1329+   37783   0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11071  com.docker.drive 0.0  00:00.05 5     0   31+    72K+   0B    3572K+ 11069 11069 sleeping *0[1+]      0.00000 0.00000    501 3150+    110+   45+       16+       4284+     375+      4145+     14+     250     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11070  com.docker.osx.h 0.0  00:00.06 5     0   28+    8192B+ 0B    1296K+ 11068 11068 sleeping *0[1+]      0.00000 0.00000    501 2189+    102+   38+       15+       9121+     668+      9479+     0       148     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11069  com.docker.drive 0.0  00:00.64 17    1   102+   2588K+ 0B    3116K+ 11069 11061 sleeping *0[1+]      0.00000 0.00000    501 10731+   538+   179+      55+       32259+    15433+    25540+    1235+   188     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11068  com.docker.osx.h 0.0  00:00.42 9     0   50+    1448K+ 0B    3760K+ 11068 11061 sleeping *0[1+]      0.00000 0.00000    501 5650+    120+   86+       30+       24739+    21426+    24458+    174+    4       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11067  com.docker.slirp 0.0  00:05.17 5     0   21+    716K+  0B    25M+   11067 11061 sleeping *0[1+]      0.00000 0.00000    501 14951+   711+   943+      439+      436247+   620+      75568+    1350+   159     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11066  com.docker.osxfs 0.0  00:00.29 4     0   20+    8192B+ 0B    5592K+ 11066 11061 sleeping *0[1+]      0.00000 0.00000    501 5228+    430+   94+       33+       26245+    136+      6054+     821+    3       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11065  com.docker.db    0.0  00:01.24 3     0   12+    2104K+ 0B    7492K+ 11065 11061 sleeping *0[1+]      0.00000 0.00000    501 15109+   392+   19+       9+        88433+    50+       18110+    868+    649     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11063  com.docker.osx.h 0.0  00:00.09 5     0   28+    8192B+ 0B    1292K+ 11061 11061 sleeping *0[1+]      0.00000 0.00000    501 2184+    102+   38+       15+       13209+    911+      13474+    1+      375     0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11061  com.docker.osx.h 0.0  00:00.07 12    1   59+    216K+  0B    1572K+ 11061 11027 sleeping *0[1+]      0.00000 0.00000    501 3660+    289+   101+      32+       1234+     279+      906+      516+    14      0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
11059  loginitemregiste 0.0  00:00.02 2     2   35+    136K+  0B    908K+  11059 1     sleeping *0[1+]      0.00000 0.00000    501 3438+    175+   153+      50+       663+      315+      199+      0       2       0.0   archopposition  N/A    N/A   N/A   N/A   N/A   N/A  
